Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
784,SPLIT FOYER,Residential Low Density,,9101,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Mitchell,Normal,Normal,Single-Family Detached,Split Foyer,Average,Above Average,1978,1978,Gable,Standard Shingle,Plywood,Plywood,Brick Face,104.0,Average/Typical,Good,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Good Living Quarters,1097,Unfinished,0,0,1097,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1110,0,0,1110,1,0,1,0,1,1,Good,4,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1978.0,Finished,2,602,Typical/Average,Typical/Average,Paved,303,30,0,0,0,0,,,,0,7,2009,Warranty Deed - Conventional,Normal Sale,165500
785,2-1/2 STORY ALL AGES,Residential Medium Density,35.0,6300,Paved,Gravel,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Normal,Normal,Single-Family Detached,Two and One-Half Story (Unfinished),Above Average,Above Average,1914,2001,Gable,Standard Shingle,Wood Siding,,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,742,742,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,742,742,0,1484,0,0,2,0,3,1,Typical/Average,9,Typical Functionality,1,Good - Masonry Fireplace,,,,0,0,,,Paved,0,291,134,0,0,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,128000
786,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,9790,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northwest Ames,Adjacent to Feeder Street,Normal,Single-Family Detached,One Story,Above Average,Average,1967,1967,Gable,Standard Shingle,Brick Face,Wood Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Rec Room,251,Low Quality,630,491,1372,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1342,0,0,1342,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,1967.0,Unfinished,2,457,Typical/Average,Typical/Average,Paved,0,0,0,0,197,0,,,,0,9,2009,Warranty Deed - Conventional,Normal Sale,161500
787,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,60.0,10800,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Adjacent to Arterial Street,Normal,Single-Family Detached,One and One-Half Story (Finished),Average,Above Average,1915,1950,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Good,Poured Concrete,Fair (70-79 inches),Typical,No Exposure,Low Quality,686,Unfinished,0,0,686,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,966,686,0,1652,1,0,2,0,4,1,Typical/Average,7,Typical Functionality,0,,Detached,1961.0,Unfinished,1,416,Typical/Average,Typical/Average,Paved,0,0,196,0,0,0,,,Shed (over 100 SF),1200,6,2010,Warranty Deed - Conventional,Normal Sale,139000
788,2-STORY 1946 & NEWER,Residential Low Density,76.0,10142,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer West,Normal,Normal,Single-Family Detached,Two Story,Good,Average,2004,2004,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,656,Unfinished,0,300,956,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,956,1128,0,2084,1,0,2,1,4,1,Good,8,Typical Functionality,0,,Built-In Garage,2004.0,Rough Finished,2,618,Typical/Average,Typical/Average,Paved,0,45,0,0,0,0,,,,0,1,2010,Warranty Deed - Conventional,Normal Sale,233000
789,1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,50.0,6000,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Old Town,Normal,Normal,Single-Family Detached,One Story,Below Average,Good,1954,2000,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,901,901,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,901,0,0,901,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,,Detached,1954.0,Unfinished,1,281,Fair,Typical/Average,Paved,0,0,0,0,0,0,,,,0,8,2008,Warranty Deed - Conventional,Normal Sale,107900
790,2-STORY 1946 & NEWER,Residential Low Density,,12205,Paved,,Slightly Irregular,Depression,All Public Utilities,Inside Lot,Gentle Slope,Clear Creek,Normal,Normal,Single-Family Detached,Two Story,Above Average,Very Good,1966,2007,Gable,Standard Shingle,Hard Board,Hard Board,Brick Face,157.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Fair,Good Exposure,Low Quality,568,Unfinished,0,264,832,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,976,1111,0,2087,0,0,2,1,5,1,Good,9,Typical Functionality,0,,Attached,1966.0,Finished,2,444,Typical/Average,Typical/Average,Paved,133,168,0,0,0,0,,,,0,7,2007,Warranty Deed - Conventional,Normal Sale,187500
791,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,43.0,3182,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Bloomington Heights,Normal,Normal,Townhouse End Unit,One Story,Good,Average,2005,2006,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,11.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,16,Unfinished,0,1129,1145,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,0,0,1145,0,0,2,0,2,1,Good,5,Typical Functionality,1,Good - Masonry Fireplace,Attached,2005.0,Finished,2,397,Typical/Average,Typical/Average,Paved,100,16,0,0,0,0,,,,0,9,2009,Warranty Deed - Conventional,Normal Sale,160200
792,SPLIT OR MULTI-LEVEL,Residential Low Density,,11333,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Mitchell,Normal,Normal,Single-Family Detached,Split Level,Above Average,Average,1976,1976,Gable,Standard Shingle,Hard Board,Hard Board,,0.0,Average/Typical,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Average Living Quarters,539,Unfinished,0,490,1029,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1062,0,0,1062,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,2,Average - Prefabricated Fireplace,Attached,1976.0,Rough Finished,2,539,Typical/Average,Typical/Average,Paved,120,0,0,0,0,0,,,,0,5,2007,Warranty Deed - Conventional,Normal Sale,146800
793,2-STORY 1946 & NEWER,Residential Low Density,92.0,9920,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,Northridge,Normal,Normal,Single-Family Detached,Two Story,Good,Average,1996,1997,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Good Living Quarters,862,Unfinished,0,255,1117,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1127,886,0,2013,1,0,2,1,3,1,Typical/Average,8,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1997.0,Unfinished,2,455,Typical/Average,Typical/Average,Paved,180,130,0,0,0,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,269790
794,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,76.0,9158,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Somerset,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,2007,2007,Gable,Standard Shingle,Cement Board,,Stone,140.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Unfinished,0,Unfinished,0,1496,1496,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1496,0,0,1496,0,0,2,0,3,1,Good,7,Typical Functionality,0,,Attached,2007.0,Finished,2,474,Typical/Average,Typical/Average,Paved,168,130,0,0,0,0,,,,0,6,2007,Newly Constructed,Incomplete Construction,225000
795,2-STORY 1946 & NEWER,Residential Low Density,,10832,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Gilbert,Normal,Normal,Single-Family Detached,Two Story,Good,Average,1994,1996,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,712,712,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1086,809,0,1895,0,0,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1994.0,Finished,2,409,Typical/Average,Typical/Average,Paved,143,46,0,0,0,0,,,Shed (over 100 SF),500,10,2008,Warranty Deed - Conventional,Normal Sale,194500
796,2-STORY 1946 & NEWER,Residential Low Density,70.0,8400,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer West,Normal,Normal,Single-Family Detached,Two Story,Above Average,Above Average,1980,1981,Gable,Standard Shingle,Hard Board,Hard Board,Brick Face,130.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,650,650,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,888,676,0,1564,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1980.0,Unfinished,2,476,Typical/Average,Typical/Average,Paved,0,50,0,0,204,0,,Minimum Privacy,,0,4,2010,Warranty Deed - Conventional,Normal Sale,171000
797,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,71.0,8197,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer,Normal,Normal,Single-Family Detached,One Story,Above Average,Average,1977,1977,Gable,Standard Shingle,Plywood,Plywood,Brick Face,148.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,660,660,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1285,0,0,1285,0,0,1,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1977.0,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,138,0,0,0,0,0,,Minimum Privacy,,0,4,2007,Warranty Deed - Conventional,Normal Sale,143500
798,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,57.0,7677,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Average,Average,1953,1953,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Below Average Living Quarters,570,Unfinished,0,203,773,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,773,0,0,773,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,,Attached,1953.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,4,2008,Warranty Deed - Conventional,Abnormal Sale,110000
799,2-STORY 1946 & NEWER,Residential Low Density,104.0,13518,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,Two Story,Excellent,Average,2008,2009,Hip,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,860.0,Excellent,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1926,1926,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1966,1174,0,3140,0,0,3,1,4,1,Excellent,11,Typical Functionality,2,Good - Masonry Fireplace,Built-In Garage,2009.0,Finished,3,820,Typical/Average,Typical/Average,Paved,144,78,0,0,0,0,,,,0,7,2009,Newly Constructed,Incomplete Construction,485000
800,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,60.0,7200,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,South & West of ISU,Adjacent to Feeder Street,Normal,Single-Family Detached,One and One-Half Story (Finished),Average,Good,1937,1950,Gable,Standard Shingle,Wood Siding,Wood Siding,Brick Face,252.0,Average/Typical,Average/Typical,Brick & Tile,Good (90-99 inches),Typical,No Exposure,Average Living Quarters,569,Unfinished,0,162,731,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,981,787,0,1768,1,0,1,1,3,1,Good,7,Typical Functionality,2,Average - Prefabricated Fireplace,Detached,1939.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,264,0,0,0,,Minimum Privacy,,0,6,2007,Warranty Deed - Conventional,Normal Sale,175000
801,2-STORY 1946 & NEWER,Residential Low Density,79.0,12798,Paved,,Slightly Irregular,Hillside,All Public Utilities,Inside Lot,Moderate Slope,Clear Creek,Adjacent to Feeder Street,Normal,Single-Family Detached,Two Story,Above Average,Average,1997,1997,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Average/Typical,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Good Exposure,Good Living Quarters,462,Unfinished,0,154,616,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,616,1072,0,1688,1,0,2,1,4,1,Good,8,Typical Functionality,0,,Attached,1997.0,Rough Finished,2,603,Typical/Average,Typical/Average,Paved,403,114,185,0,0,0,,,Shed (over 100 SF),400,5,2008,Warranty Deed - Conventional,Normal Sale,200000
802,1-STORY 1945 & OLDER,Residential Medium Density,40.0,4800,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Iowa DOT and Rail Road,Normal,Normal,Single-Family Detached,One Story,Below Average,Good,1916,1990,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Low Quality,197,Unfinished,0,999,1196,Gas Forced Warm Air Furnace,Excellent,Yes,Fuse Box over 60 AMP,1196,0,0,1196,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Detached,1957.0,Unfinished,2,440,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,7,2007,Warranty Deed - Conventional,Normal Sale,109900
803,2-STORY 1946 & NEWER,Residential Low Density,63.0,8199,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,Two Story,Good,Average,2005,2005,Gable,Standard Shingle,Wood Shingles,,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Good Living Quarters,648,Unfinished,0,80,728,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,728,728,0,1456,1,0,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2005.0,Finished,2,410,Typical/Average,Typical/Average,Paved,36,18,0,0,0,0,,,,0,10,2008,Warranty Deed - Conventional,Normal Sale,189000
804,2-STORY 1946 & NEWER,Residential Low Density,107.0,13891,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,Two Story,Excellent,Average,2008,2009,Hip,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,424.0,Excellent,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,Good Exposure,Unfinished,0,Unfinished,0,1734,1734,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1734,1088,0,2822,0,0,3,1,4,1,Excellent,12,Typical Functionality,1,Good - Masonry Fireplace,Built-In Garage,2009.0,Rough Finished,3,1020,Typical/Average,Typical/Average,Paved,52,170,0,0,192,0,,,,0,1,2009,Newly Constructed,Incomplete Construction,582933
805,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75.0,9000,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Average,Average,1954,1954,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Low Quality,812,Unfinished,0,124,936,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1128,0,0,1128,0,0,1,0,2,1,Typical/Average,5,Minor Deductions 1,0,,Attached,1954.0,Unfinished,1,286,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,Good Wood,,0,6,2006,Warranty Deed - Conventional,Family Sale,118000
806,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,91.0,12274,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Frontage on 2 Sides,Gentle Slope,Somerset,Normal,Normal,Single-Family Detached,One Story,Good,Average,2008,2008,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,256.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1417,1417,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1428,0,0,1428,0,0,2,0,3,1,Excellent,6,Typical Functionality,0,,Attached,2008.0,Rough Finished,2,554,Typical/Average,Typical/Average,Paved,0,60,0,0,0,0,,,,0,7,2008,Newly Constructed,Incomplete Construction,227680
807,SPLIT OR MULTI-LEVEL,Residential Low Density,75.0,9750,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,Split Level,Average,Average,1967,1967,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Average/Typical,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical,Average Exposure,Average Living Quarters,400,Average Rec Room,480,100,980,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,980,0,0,980,0,0,2,0,3,1,Typical/Average,6,Typical Functionality,0,,Attached,1967.0,Finished,1,384,Typical/Average,Typical/Average,Paved,68,0,0,0,0,0,,,,0,10,2006,Warranty Deed - Conventional,Normal Sale,135500
808,2-STORY 1945 & OLDER,Residential Low Density,144.0,21384,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Brookside,Normal,Normal,Single-Family Detached,Two Story,Average,Above Average,1923,2004,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Good Exposure,Good Living Quarters,1309,Unfinished,0,15,1324,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1072,504,0,1576,2,0,1,1,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1923.0,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,0,312,0,0,0,0,,,,0,5,2009,Warranty Deed - Conventional,Normal Sale,223500
809,SPLIT OR MULTI-LEVEL,Residential Low Density,85.0,13400,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,Split Level,Average,Average,1966,1966,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,1047.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Average Exposure,Average Living Quarters,516,Below Average Living Quarters,128,380,1024,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1086,0,0,1086,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace,Attached,1966.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,Good Wood,,0,6,2006,Warranty Deed - Conventional,Normal Sale,159950
810,2-1/2 STORY ALL AGES,Residential Medium Density,90.0,8100,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Old Town,Normal,Normal,Single-Family Detached,Two and One-Half Story (Unfinished),Average,Average,1898,1965,Hip,Standard Shingle,Asbestos Shingles,Asbestos Shingles,,0.0,Average/Typical,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,849,849,Gas Forced Warm Air Furnace,Average/Typical,No,Fuse Box over 60 AMP,1075,1063,0,2138,0,0,2,0,2,3,Typical/Average,11,Typical Functionality,0,,Detached,1910.0,Unfinished,2,360,Fair,Poor,Dirt/Gravel,40,156,0,0,0,0,,Minimum Privacy,,0,11,2009,Warranty Deed - Conventional,Normal Sale,106000
811,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,78.0,10140,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northwest Ames,Normal,Normal,Single-Family Detached,One Story,Above Average,Above Average,1974,1999,Hip,Standard Shingle,Hard Board,Hard Board,Brick Face,99.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Living Quarters,663,Low Quality,377,0,1040,Gas Forced Warm Air Furnace,Fair,Yes,Standard Circuit Breakers & Romex,1309,0,0,1309,1,0,1,1,3,1,Good,5,Typical Functionality,1,Fair - Prefabricated Fireplace,Attached,1974.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,265,0,0,0,0,648,Fair,Good Privacy,,0,1,2006,Warranty Deed - Conventional,Normal Sale,181000
812,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,,4438,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Townhouse End Unit,One Story,Above Average,Average,2004,2004,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,169.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Good Exposure,Good Living Quarters,662,Unfinished,0,186,848,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,848,0,0,848,1,0,1,0,1,1,Good,4,Typical Functionality,1,Good - Masonry Fireplace,Attached,2004.0,Finished,2,420,Typical/Average,Typical/Average,Paved,140,0,0,0,0,0,,,,0,6,2008,Contract Low Down,Normal Sale,144500
813,1-STORY 1946 & NEWER ALL STYLES,,66.0,8712,Gravel,,Regular,Banked,All Public Utilities,Inside Lot,Moderate Slope,Iowa DOT and Rail Road,Normal,Normal,Single-Family Detached,One Story,Average,Average,1952,1952,Hip,Standard Shingle,Wood Siding,Wood Siding,,0.0,Fair,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Average Exposure,Unfinished,0,Unfinished,0,540,540,Gas Forced Warm Air Furnace,Average/Typical,No,Fuse Box over 60 AMP,1044,0,0,1044,0,0,1,0,2,1,Fair,4,Typical Functionality,0,,Basement Garage,1952.0,Unfinished,2,504,Typical/Average,Typical/Average,Dirt/Gravel,0,0,0,0,0,0,,,Shed (over 100 SF),54,6,2010,Warranty Deed - Conventional,Allocation,55993
814,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75.0,9750,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Above Average,Above Average,1958,1958,Gable,Standard Shingle,Metal Siding,Metal Siding,Brick Face,243.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Rec Room,608,Unfinished,0,834,1442,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,1442,0,0,1442,0,0,1,1,4,1,Typical/Average,7,Typical Functionality,0,,Attached,1958.0,Rough Finished,1,301,Typical/Average,Typical/Average,Paved,0,0,275,0,0,0,,,Shed (over 100 SF),500,4,2007,Court Officer Deed/Estate,Normal Sale,157900
815,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,45.0,8248,Paved,Gravel,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Edwards,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Average,Good,1918,1950,Gable,Standard Shingle,Stucco,Stucco,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,686,686,Gas Hot Water or Steam Heat,Good,Yes,Standard Circuit Breakers & Romex,686,564,0,1250,0,1,1,1,3,1,Fair,7,Typical Functionality,0,,Detached,1955.0,Unfinished,1,280,Typical/Average,Typical/Average,Partial Pavement,207,0,96,0,0,0,,,,0,7,2006,Warranty Deed - Conventional,Normal Sale,116000
816,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,48.0,12137,Paved,,Moderately Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,One Story,Good,Average,1998,1998,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,442.0,Average/Typical,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1649,1649,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1661,0,0,1661,0,0,2,0,3,1,Good,6,Typical Functionality,0,,Attached,1998.0,Rough Finished,2,598,Typical/Average,Typical/Average,Paved,0,34,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,224900
817,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,11425,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Average,Above Average,1954,1954,Gable,Standard Shingle,Brick Face,Brick Face,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Below Average Living Quarters,486,Unfinished,0,522,1008,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,1008,0,0,1008,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,1,Good - Masonry Fireplace,Attached,1954.0,Rough Finished,1,275,Typical/Average,Typical/Average,Paved,0,0,120,0,0,0,,,,0,7,2006,Warranty Deed - Conventional,Normal Sale,137000
